"url","price","stars"
"/dp/B06Y2WCHDV/?coliid=I3I4SVUWPEDKL8&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,900.00
","4.4"
"/dp/B07NFQKMJX/?coliid=I3LHN27HMZ8EKH&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.5"
"/dp/B001R4LK1Q/?coliid=I2JVIJHX5I4P20&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,133.25
","4.6"
"/dp/B07MV3DBQC/?coliid=I3OE1TK4KEOXP2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$399.99
","4.4"
"/dp/B01JLY1HSE/?coliid=I1NMSIFMZ33KS9&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$594.95
","4.8"
"/dp/B08Q1LHYLM/?coliid=I1N6VMU2TM5OOK&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,899.00
","5.0"
"/dp/B007K9OIMU/?coliid=I1CFJDJ71RUX99&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$5,093.56
","4.4"
"/dp/B092D6NGGM/?coliid=I187VCSNSFCUAT&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$459.00
",""
"/dp/B06XP4DKGL/?coliid=I1FX085HK7ABGC&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$734.25
","4.8"
"/dp/B08V9FHQWN/?coliid=I1VV0GSYQJRLOI&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B013XFJKGI/?coliid=IVBHXPYO6G6CE&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,068.06
","4.3"
"/dp/B08W8M2YT5/?coliid=I39TE3C7J2RW4Y&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$791.07
",""
"/dp/B08WYN3N6B/?coliid=I3Q8VM15FNAOB3&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","5.0"
"/dp/B073QVQNKN/?coliid=I2M89LZMO3CU6R&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,779.00
","4.8"
"/dp/B08D325KW2/?coliid=I1AFNQXG0RJSHN&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$329.00
","3.5"
"/dp/B085RMD5TP/?coliid=I3O70N1KW36UNM&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","",""
"/dp/B08J8C7D8C/?coliid=I3316TNJ759WWL&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$5,712.11
","4.5"
"/dp/B07GBYYSMF/?coliid=I1ZLYW3QR77YZ8&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,789.00
","4.6"
"/dp/B08FQMBKQG/?coliid=I24KURE2Q3NZNV&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,793.00
","4.6"
