"url","stars","comments","price","reviews"
"/dp/B07GBYYSMF/?coliid=I1ZLYW3QR77YZ8&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","35","
$1,789.00","85"
"/dp/B08FQMBKQG/?coliid=I24KURE2Q3NZNV&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.6","162","
$2,793.00","1,162"
"/dp/B07YPBQSCK/?coliid=IE3H1M40XNNGU&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","522","
$1,264.36","3,186"
"/dp/B07YPBX9Y7/?coliid=I14CQGBLL7X7IU&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","522","
$3,067.60","3,186"
"/dp/B084RPZD6T/?coliid=I2QHUVRWNRRHSP&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","506","
$1,479.24","2,913"
"/dp/B07DG64YL9/?coliid=I2Z3RVB1CACS4G&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","795","
$1,355.72","6,845"
"/dp/B08BRF9QB7/?coliid=I30490HEJZ3UV4&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.8","36","
$11,499.00","107"
"/dp/B07YTF96FZ/?coliid=INMJKIG9DVAS2&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.3","12","
$44,299.00","44"
"/dp/B085B3GFRL/?coliid=I1V3TGT4EW6HFO&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","66","
$41,899.00","13"
"/dp/B089HJ9S33/?coliid=I3VO0BZH05UEX9&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.5","40","
$44,975.26","152"
"/dp/B08L7T3H2L/?coliid=I297V2UH8VSFKU&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","5.0","9","
$29,999.00","19"
"/dp/B08GFM5FML/?coliid=I16C9ZFSDGJEYU&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","4","
$49,399.00","10"
"/dp/B08N6Q71P7/?coliid=I2ARXGSF3HDTEZ&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.9","55","","188"
"/dp/B08N6NQT8K/?coliid=I39ZAMRGOUYKES&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.9","55","
$25,999.00","188"
"/dp/B07Z8QGMQP/?coliid=IMMNXIMCO7I7E&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","180","
$8,899.00","466"
"/dp/B078RT392P/?coliid=I2IBXRY2WJ7YT4&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","4.7","180","","466"
"/dp/B07WSJYRFH/?coliid=I1HVZLFSAHXF5Z&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","4.7","59","
$3,790.00","528"
